# v_p0  v_p1  v_p2
2676077 -88667 7212
3021559 -21750 23315
3261893 131832 71296
3225917 -249795 164272
2704655 -74615 129917
2447944 -359958 70717
2152137 -247305 128819
2388761 -353449 128109
3272829 -775715 236418
3398500 -933380 199634
3049554 -864368 168101
3060845 -317720 145233
6370597 -1607545 -165045
6426822 -1595522 126354
4894995 -1259835 49316
3656289 -1028872 258057
6279248 -1261288 -234648
4308909 -767119 -94274
5441205 -1592748 -1825
2699215 -665418 237134
5294050 -850979 73806
4431414 -936437 165244
4530230 -176953 -103255
3284423 -445460 6413
3109669 158193 -78587
3613534 -550628 -89145
3511198 -63451 -101261
2753923 -138799 -16105
3634115 -242079 -132634
2541108 42543 -62148
4260054 -278404 -244480
3713691 -515089 -175339
2528231 -128541 -76582
2742700 -66845 68881
2959647 -136630 -68610
3896659 234669 8008
2877161 -241871 -57898
3988022 552335 -79533
3930558 -100945 -152326
3848525 -280088 -90118
4605748 -519225 -215813
4560496 258511 -158256
3602834 43032 -173724
3746711 216984 -122111
5612111 401057 -361698
2289798 544360 35394
2171801 209286 105409
2080729 428221 70081
2147865 12569 74185
2399188 189520 143821
3975079 10762 -169673
2866171 -26576 -9701
2934356 -156496 -51347
2449504 -241639 77721
2437709 223284 58527
2478978 171809 64087
2503570 -43906 51065
3715192 167887 -207410
1577464 19709 43061
1848444 73986 57388
2523921 29235 -10355
2334923 61713 44234
2659389 47424 45708
1748812 -63312 3469
2139019 -230048 -65884
2612006 154032 -51443
2463852 -212146 -49981
2339858 392199 61492
2768570 397948 27267
1715356 30229 44379
1681079 -156646 80517
1717488 -155777 88004
2324077 -150876 12892
2716747 55896 56068
2935250 391697 -19667
4052233 -323992 -170395
3191704 322793 -80515
2200997 -113373 9546
2104505 -107088 76962
2610122 45155 30819
2431857 7639 91385
3185923 -77713 -65922
3729971 117111 -71853
3542904 -124598 -44800
3051748 24450 -24585
2203407 -264739 42879
2164939 -84677 54367
2188851 -125576 111654
2938193 -379709 136266
2823709 -605464 119600
2460793 -588543 111663
3087328 -147124 37777
3761723 -1432290 288282
4491874 -992296 393625
3229812 -851707 302924
2998065 -563181 201790
4124543 -1393263 109685
3033023 -733894 124225
3250300 -1197172 329604
2318966 -178945 219812
4675300 -747380 280
3736019 -594764 136843
4090544 -336094 -27878
2813082 -420808 22816
3300560 -92731 -145209
2647262 -560921 81142
3321581 -271264 -92059
2511755 -126495 29314
3092235 -416496 -43938
2547666 -126905 -82284
3313608 -544310 -22116
2612645 -682953 33633
2125756 -187181 24843
2720798 91537 83402
2647471 -245018 -17971
4195593 209847 -23913
2390971 -268622 37975
4820392 177367 -274074
3326711 -236406 28610
2905245 -140968 214112
3140155 -560120 168881
4338102 120612 12367
3029180 -79193 56660
3684530 53056 -40562
5478485 -304461 -286492
3079049 500606 -76090
2507384 391720 90121
2643066 529713 34406
2020556 308782 193526
2664686 541667 184728
3374027 -132989 54457
2574123 70102 120785
2515750 -181702 52428
2053291 33071 199266
2713782 336368 59886
2795326 259789 22539
2540381 55173 38461
3509052 -187635 -126038
1600268 140619 66691
2094063 134980 -1374
2573988 -18233 -29125
2599501 72040 -37825
2698796 172255 74762
1582003 -10551 57547
1622414 -269689 45452
2716146 37020 -55125
2021371 -203449 47571
3090478 356656 -95124
3337975 399253 -44101
1749621 138803 65231
1612130 -377 76530
1632830 22327 95679
2203278 -152205 524
3135084 14175 -102658
3707725 134350 -231361
3285888 -527584 -28991
3655357 12874 -203773
2148744 -122453 -17999
2209819 -27193 5179
2820602 41925 -38652
2508509 223116 106764
3044520 -221499 -69745
3846317 -82412 -113560
3494445 -328417 -118913
3109242 -87710 -62106
1839003 -116448 114749
2127276 24964 56906
2204645 91914 97545
2918181 -248979 14204
2414276 -431914 74277
1981471 -379486 109872
2963264 -88661 39816
2531435 -748883 347251
4315466 -383655 181821
2953608 -339913 170686
2736928 -226016 146251
2490743 -938725 304500
2251403 -359027 221970
2605874 -603064 224885
2654668 110371 66369
4038553 -844964 -64914
3456820 -439372 38415
3541790 -269501 73334
2326622 -334615 67732
2846768 -285582 -35205
2018312 -288329 166471
2777384 -366851 1797
2424511 -57389 27354
2452929 -412523 49788
2159707 -201506 10728
2529767 -443166 98902
1602149 -393212 229909
1886450 -73051 70319
2913642 247804 73694
2217873 -178987 72369
4461016 130120 -64143
2031989 -111006 108248
4635836 -366482 -236577
2938292 -46420 131233
3001366 349148 217345
2532266 -38304 297317
